model,seed,fold,roc_auc,pr_auc,recall_opt,fn_opt,thr_opt,accuracy,precision,recall,specificity,f1,f2,fn,fp
Standard,42,0,0.8490740740740741,0.6926451164433123,0.9444444444444444,3,0.15,0.7987012987012987,0.7254901960784313,0.6851851851851852,0.86,0.7047619047619048,0.6928838951310862,17,14
Weighted CE,42,0,0.8514814814814815,0.6889886107227129,0.9814814814814815,1,0.2,0.7662337662337663,0.6323529411764706,0.7962962962962963,0.75,0.7049180327868853,0.7570422535211268,11,25
Focal,42,0,0.8553703703703703,0.6875182771318687,0.9629629629629629,2,0.39999999999999997,0.7532467532467533,0.6081081081081081,0.8333333333333334,0.71,0.703125,0.7758620689655172,9,29
Exponential,42,0,0.8424074074074075,0.6729025403259975,0.9629629629629629,2,0.15,0.7727272727272727,0.6557377049180327,0.7407407407407407,0.79,0.6956521739130435,0.7220216606498195,14,21
Standard,42,1,0.8531481481481482,0.7515519701577393,0.9074074074074074,5,0.15,0.7857142857142857,0.7333333333333333,0.6111111111111112,0.88,0.6666666666666666,0.632183908045977,21,12
Weighted CE,42,1,0.8448148148148148,0.7443809270865753,0.9259259259259259,4,0.25,0.7467532467532467,0.631578947368421,0.6666666666666666,0.79,0.6486486486486487,0.6593406593406593,18,21
Focal,42,1,0.8527777777777777,0.7622831324192756,0.9259259259259259,4,0.39999999999999997,0.7922077922077922,0.6774193548387096,0.7777777777777778,0.8,0.7241379310344828,0.7553956834532374,12,20
Exponential,42,1,0.8357407407407407,0.7327412302086321,0.9074074074074074,5,0.2,0.7922077922077922,0.7037037037037037,0.7037037037037037,0.84,0.7037037037037037,0.7037037037037037,16,16
Standard,42,2,0.8148148148148148,0.6707478597089123,0.9259259259259259,4,0.1,0.7402597402597403,0.6296296296296297,0.6296296296296297,0.8,0.6296296296296297,0.6296296296296297,20,20
Weighted CE,42,2,0.8124074074074075,0.694080813805001,0.8333333333333334,9,0.35,0.7402597402597403,0.6,0.7777777777777778,0.72,0.6774193548387096,0.7342657342657343,12,28
Focal,42,2,0.8164814814814815,0.6781017377066761,0.9444444444444444,3,0.3,0.7402597402597403,0.6029411764705882,0.7592592592592593,0.73,0.6721311475409836,0.721830985915493,13,27
Exponential,42,2,0.812962962962963,0.684934936686357,0.9259259259259259,4,0.1,0.7272727272727273,0.5967741935483871,0.6851851851851852,0.75,0.6379310344827587,0.6654676258992805,17,25
Standard,42,3,0.8162264150943396,0.6816342462157321,0.9433962264150944,3,0.1,0.7254901960784313,0.6078431372549019,0.5849056603773585,0.8,0.5961538461538461,0.5893536121673004,22,20
Weighted CE,42,3,0.8179245283018868,0.6871895092136379,0.8490566037735849,8,0.44999999999999996,0.7647058823529411,0.6231884057971014,0.8113207547169812,0.74,0.7049180327868853,0.7651245551601423,10,26
Focal,42,3,0.8086792452830189,0.6625207740039819,0.8679245283018868,7,0.44999999999999996,0.7450980392156863,0.5945945945945946,0.8301886792452831,0.7,0.6929133858267716,0.7692307692307693,9,30
Exponential,42,3,0.8183018867924527,0.6737613420100903,0.9811320754716981,1,0.05,0.7777777777777778,0.6507936507936508,0.7735849056603774,0.78,0.7068965517241379,0.7454545454545455,12,22
Standard,42,4,0.7909433962264152,0.7088255499224655,0.9811320754716981,1,0.05,0.7450980392156863,0.6458333333333334,0.5849056603773585,0.83,0.6138613861386139,0.5961538461538461,22,17
Weighted CE,42,4,0.790188679245283,0.704922487842869,0.9811320754716981,1,0.05,0.7124183006535948,0.5633802816901409,0.7547169811320755,0.69,0.6451612903225806,0.7067137809187279,13,31
Focal,42,4,0.7841509433962264,0.6710592934102423,0.9811320754716981,1,0.25,0.6666666666666666,0.5131578947368421,0.7358490566037735,0.63,0.6046511627906976,0.6770833333333334,14,37
Exponential,42,4,0.7783018867924528,0.6823833749863415,0.9622641509433962,2,0.1,0.6928104575163399,0.5483870967741935,0.6415094339622641,0.72,0.591304347826087,0.6204379562043796,19,28
Standard,0,0,0.8070370370370371,0.6984389771374193,0.9814814814814815,1,0.05,0.7337662337662337,0.6326530612244898,0.5740740740740741,0.82,0.6019417475728155,0.5849056603773585,23,18
Weighted CE,0,0,0.8077777777777778,0.6977152971811246,0.9074074074074074,5,0.2,0.7337662337662337,0.6065573770491803,0.6851851851851852,0.76,0.6434782608695652,0.6678700361010831,17,24
Focal,0,0,0.8166666666666667,0.7122640168111578,0.9814814814814815,1,0.25,0.7207792207792207,0.5846153846153846,0.7037037037037037,0.73,0.6386554621848739,0.6761565836298933,16,27
Exponential,0,0,0.802962962962963,0.6869759288519736,0.9814814814814815,1,0.05,0.7207792207792207,0.6,0.6111111111111112,0.78,0.6055045871559633,0.6088560885608856,21,22
Standard,0,1,0.8151851851851852,0.7031069777736118,0.9074074074074074,5,0.05,0.7662337662337663,0.6875,0.6111111111111112,0.85,0.6470588235294118,0.625,21,15
Weighted CE,0,1,0.820925925925926,0.709923232277704,0.8703703703703703,7,0.2,0.7662337662337663,0.65,0.7222222222222222,0.79,0.6842105263157895,0.7065217391304348,15,21
Focal,0,1,0.8157407407407407,0.6942745155371157,0.8703703703703703,7,0.35,0.7662337662337663,0.65,0.7222222222222222,0.79,0.6842105263157895,0.7065217391304348,15,21
Exponential,0,1,0.817037037037037,0.7090878442001797,0.8888888888888888,6,0.15,0.7662337662337663,0.6666666666666666,0.6666666666666666,0.82,0.6666666666666666,0.6666666666666666,18,18
Standard,0,2,0.8303703703703704,0.670107750199173,0.9814814814814815,1,0.1,0.7727272727272727,0.6727272727272727,0.6851851851851852,0.82,0.6788990825688074,0.6826568265682657,17,18
Weighted CE,0,2,0.8453703703703703,0.6988499902931379,0.9629629629629629,2,0.25,0.7272727272727273,0.5833333333333334,0.7777777777777778,0.7,0.6666666666666666,0.7291666666666666,12,30
Focal,0,2,0.8355555555555556,0.6666811116899807,0.9814814814814815,1,0.35,0.7207792207792207,0.5753424657534246,0.7777777777777778,0.69,0.6614173228346457,0.726643598615917,12,31
Exponential,0,2,0.8288888888888889,0.6748753156701354,0.9814814814814815,1,0.15,0.7337662337662337,0.5970149253731343,0.7407407407407407,0.73,0.6611570247933884,0.7067137809187279,14,27
Standard,0,3,0.8749056603773585,0.7752547405514498,0.9245283018867925,4,0.2,0.7843137254901961,0.7,0.660377358490566,0.85,0.6796116504854369,0.6679389312977099,18,15
Weighted CE,0,3,0.8735849056603774,0.7677665315666209,0.9433962264150944,3,0.25,0.7908496732026143,0.647887323943662,0.8679245283018868,0.75,0.7419354838709677,0.8127208480565371,7,25
Focal,0,3,0.8775471698113207,0.7769793905754497,0.9622641509433962,2,0.39999999999999997,0.7712418300653595,0.6216216216216216,0.8679245283018868,0.72,0.7244094488188977,0.8041958041958042,7,28
Exponential,0,3,0.8754716981132076,0.7704078962680978,0.9811320754716981,1,0.15,0.803921568627451,0.6716417910447762,0.8490566037735849,0.78,0.75,0.8064516129032258,8,22
Standard,0,4,0.7816981132075472,0.6378568302887869,0.9056603773584906,5,0.1,0.7189542483660131,0.6136363636363636,0.5094339622641509,0.83,0.5567010309278351,0.52734375,26,17
Weighted CE,0,4,0.7732075471698113,0.6355538735741888,0.9245283018867925,4,0.15,0.6928104575163399,0.5454545454545454,0.6792452830188679,0.7,0.6050420168067226,0.6474820143884892,17,30
Focal,0,4,0.7764150943396226,0.6422028689265172,0.9433962264150944,3,0.3,0.7124183006535948,0.5652173913043478,0.7358490566037735,0.7,0.639344262295082,0.693950177935943,14,30
Exponential,0,4,0.7715094339622641,0.6330713496298563,0.9622641509433962,2,0.05,0.7124183006535948,0.5789473684210527,0.6226415094339622,0.76,0.6,0.6133828996282528,20,24
Standard,7,0,0.7892592592592593,0.682451168954612,0.9259259259259259,4,0.1,0.7597402597402597,0.673469387755102,0.6111111111111112,0.84,0.6407766990291263,0.6226415094339622,21,16
